Block,Female,Haplotype,Male exposure,Vial,Female offspring,Male offspring,Other,Total offspring,Mortality
1,1,Dahomey,H,1,7,7,1,15,Y
1,1,Dahomey,L,2,0,0,0,0,Y
1,1,Dahomey,H,3,0,0,0,0,Y
1,1,Dahomey,L,4,0,0,0,0,Y
1,2,Dahomey,H,1,1,3,0,4,N
1,2,Dahomey,L,2,0,0,0,0,N
1,2,Dahomey,H,3,0,0,0,0,N
1,2,Dahomey,L,4,0,0,0,0,N
1,3,Dahomey,L,1,6,3,2,11,N
1,3,Dahomey,H,2,5,7,0,12,N
1,3,Dahomey,L,3,13,6,0,19,N
1,3,Dahomey,H,4,7,4,0,11,N
1,4,Dahomey,L,1,15,32,0,47,N
1,4,Dahomey,H,2,13,10,0,23,N
1,4,Dahomey,L,3,7,5,7,19,N
1,4,Dahomey,H,4,17,14,0,31,N
1,5,Israel,H,1,12,13,0,25,N
1,5,Israel,L,2,6,11,0,17,N
1,5,Israel,H,3,5,3,0,8,N
1,5,Israel,L,4,12,10,0,22,N
1,6,Israel,H,1,19,20,0,39,N
1,6,Israel,L,2,24,14,0,38,N
1,6,Israel,H,3,15,7,0,22,N
1,6,Israel,L,4,18,12,0,30,N
1,7,Israel,L,1,15,19,0,34,N
1,7,Israel,H,2,7,13,0,20,N
1,7,Israel,L,3,9,8,0,17,N
1,7,Israel,H,4,8,5,0,13,N
1,8,Israel,L,1,7,10,0,17,N
1,8,Israel,H,2,14,8,0,22,N
1,8,Israel,L,3,17,8,3,28,N
1,8,Israel,H,4,11,7,0,18,N
1,9,Brownsville,H,1,14,10,1,25,N
1,9,Brownsville,L,2,0,0,0,0,Y
1,9,Brownsville,H,3,0,0,0,0,Y
1,9,Brownsville,L,4,0,0,0,0,Y
1,10,Brownsville,H,1,39,27,0,66,N
1,10,Brownsville,L,2,16,16,0,32,N
1,10,Brownsville,H,3,11,13,8,32,N
1,10,Brownsville,L,4,10,8,0,18,N
1,11,Brownsville,L,1,21,19,0,40,N
1,11,Brownsville,H,2,9,10,0,19,N
1,11,Brownsville,L,3,9,21,0,30,N
1,11,Brownsville,H,4,12,6,0,18,N
1,12,Brownsville,L,1,11,6,0,17,N
1,12,Brownsville,H,2,10,7,0,17,N
1,12,Brownsville,L,3,12,7,0,19,N
1,12,Brownsville,H,4,8,10,0,18,N
1,13,Barcelona,H,1,15,15,0,30,N
1,13,Barcelona,L,2,13,11,0,24,N
1,13,Barcelona,H,3,6,13,0,19,N
1,13,Barcelona,L,4,10,16,1,27,N
1,14,Barcelona,H,1,26,21,0,47,N
1,14,Barcelona,L,2,10,22,0,32,N
1,14,Barcelona,H,3,20,15,1,36,N
1,14,Barcelona,L,4,23,16,0,39,N
1,15,Barcelona,L,1,12,7,0,19,N
1,15,Barcelona,H,2,6,7,0,13,N
1,15,Barcelona,L,3,8,5,0,13,N
1,15,Barcelona,H,4,8,4,1,13,N
1,16,Barcelona,L,1,10,4,0,14,N
1,16,Barcelona,H,2,3,5,0,8,N
1,16,Barcelona,L,3,9,5,0,14,N
1,16,Barcelona,H,4,12,19,0,31,N
